"year","month","tis99","tia30","tia10","til30","til10","ts","time"
1523,1,0,0,0,0,0,1523.04,"1523-1-15 00:00:00"
1523,2,1,1,1,1,1,1523.12,"1523-2-15 00:00:00"
1523,3,-1,-1,-1,-1,-1,1523.21,"1523-3-15 00:00:00"
1523,4,1,1,1,1,1,1523.29,"1523-4-15 00:00:00"
1523,5,0,0,0,0,0,1523.38,"1523-5-15 00:00:00"
1523,6,0,0,0,0,0,1523.46,"1523-6-15 00:00:00"
1523,7,0,0,0,0,0,1523.54,"1523-7-15 00:00:00"
1523,8,1,1,1,1,1,1523.62,"1523-8-15 00:00:00"
1523,9,1,1,1,1,1,1523.71,"1523-9-15 00:00:00"
1523,10,0,0,0,0,0,1523.79,"1523-10-15 00:00:00"
1523,11,0,0,0,0,0,1523.88,"1523-11-15 00:00:00"
1523,12,0,0,0,0,0,1523.96,"1523-12-15 00:00:00"
1524,1,2,2,2,2,2,1524.04,"1524-1-15 00:00:00"
1524,2,1,1,1,1,1,1524.12,"1524-2-15 00:00:00"
1524,3,0,0,0,0,0,1524.21,"1524-3-15 00:00:00"
1524,4,0,0,0,0,0,1524.29,"1524-4-15 00:00:00"
1524,5,-2,-2,-2,-2,-2,1524.38,"1524-5-15 00:00:00"
1524,6,-1,-1,-1,-1,-1,1524.46,"1524-6-15 00:00:00"
1524,7,0,0,0,0,0,1524.54,"1524-7-15 00:00:00"
1524,8,0,0,0,0,0,1524.62,"1524-8-15 00:00:00"
1524,9,0,0,0,0,0,1524.71,"1524-9-15 00:00:00"
1524,10,0,0,0,0,0,1524.79,"1524-10-15 00:00:00"
1524,11,0,0,0,0,0,1524.88,"1524-11-15 00:00:00"
1524,12,-2,-2,-2,-2,-2,1524.96,"1524-12-15 00:00:00"
1525,1,0,0,0,0,0,1525.04,"1525-1-15 00:00:00"
1525,2,-1,-1,-1,-1,-1,1525.12,"1525-2-15 00:00:00"
1525,3,-1,-1,-1,-1,-1,1525.21,"1525-3-15 00:00:00"
1525,4,0,0,0,0,0,1525.29,"1525-4-15 00:00:00"
1525,5,0,0,0,0,0,1525.38,"1525-5-15 00:00:00"
1525,6,0,0,0,0,0,1525.46,"1525-6-15 00:00:00"
1525,7,1,1,1,1,1,1525.54,"1525-7-15 00:00:00"
1525,8,0,0,0,0,0,1525.62,"1525-8-15 00:00:00"
1525,9,1,1,1,1,1,1525.71,"1525-9-15 00:00:00"
1525,10,1,1,1,1,1,1525.79,"1525-10-15 00:00:00"
1525,11,1,1,1,1,1,1525.88,"1525-11-15 00:00:00"
1525,12,-1,-1,-1,-1,-1,1525.96,"1525-12-15 00:00:00"
1526,1,-1,-1,-1,-1,-1,1526.04,"1526-1-15 00:00:00"
1526,2,-2,-2,-2,-2,-2,1526.12,"1526-2-15 00:00:00"
1526,3,0,0,0,0,0,1526.21,"1526-3-15 00:00:00"
1526,4,0,0,0,0,0,1526.29,"1526-4-15 00:00:00"
1526,5,0,0,0,0,0,1526.38,"1526-5-15 00:00:00"
1526,6,-1,-1,-1,-1,-1,1526.46,"1526-6-15 00:00:00"
1526,7,0,0,0,0,0,1526.54,"1526-7-15 00:00:00"
1526,8,-1,-1,-1,-1,-1,1526.62,"1526-8-15 00:00:00"
1526,9,0,0,0,0,0,1526.71,"1526-9-15 00:00:00"
1526,10,0,0,0,0,0,1526.79,"1526-10-15 00:00:00"
1526,11,0,0,0,0,0,1526.88,"1526-11-15 00:00:00"
1526,12,0,0,0,0,0,1526.96,"1526-12-15 00:00:00"
1527,1,1,1,1,1,1,1527.04,"1527-1-15 00:00:00"
1527,2,0,0,0,0,0,1527.12,"1527-2-15 00:00:00"
1527,3,0,0,0,0,0,1527.21,"1527-3-15 00:00:00"
1527,4,0,0,0,0,0,1527.29,"1527-4-15 00:00:00"
